InboxCount,FPS,PhysicsFPS,AgentUpdates,Objects,ActiveScripts,Agents,AgentTime,ScriptedObjects,FrameTime,NetTime,ImageTime,PhysicsTime,ChildAgents,ConnectTime,Dilation,IncomingBPS,INPPS,LastLag,LastPingID,LastPingSent,LSLIPS,MissedPings,OtherTime,OutgoingBPS,OUTPPS,PendingDownloads,PendingLocalUploads,PendingUploads,ReceivedPongs,ReceivedResends,RecvBytes,RecvPackets,ResentPackets,ResidentSize,ScriptTime,SentBytes,SentPackets,SentPings,UnackedBytes,VirtualSize
0,55,55.47667,1236,63042,494,12,0.180256,0,18.57199,0,0,8.533386,0,23212667,1,0,1,0,34,23287751,122,0,5.311712,0,1,0,0,0,34,0,3384762,7226,0,0,0.2352941,0,0,34,6392,0
0,55,55.47667,1324,63042,494,12,0.2763925,0,17.48844,0,0,9.085134,0,23212667,1,0,1,0,36,23292166,168,0,3.189528,0,1,0,0,0,36,0,3615209,7726,0,0,0.4117647,0,0,36,6125,0
0,55,55.47667,1308,63042,494,12,0.2763925,0,17.73331,0,0,8.993466,0,23212667,1,0,1,0,38,23296596,120,0,6.017559,0,1,0,0,0,38,0,3841556,8209,0,0,0.3235294,0,0,38,10708,0
0,55,55.47667,1164,63042,494,12,0.09613652,0,18.65229,0,0,8.992478,0,23212667,1,0,1,0,40,23301011,137,0,1.394995,0,1,0,0,0,40,0,4069617,8690,0,0,0.3823529,0,0,40,5204,0
0,54,53.845,1280,63042,494,12,0,0,17.95813,0,0,7.61494,0,23212667,1,0,19,0,43,23307641,110,0,5.264499,0,141,0,0,0,43,0,4292907,9157,0,0,0.2424242,0,0,43,9023,0
0,55,55.47667,1296,63042,494,12,0.09613652,0,18.11052,0,0,8.433485,0,23212667,1,0,1,0,45,23312056,131,0,1.807023,0,1,0,0,0,45,0,4517210,9637,0,0,0.2941177,0,0,45,13623,0
0,54,53.845,1292,63042,494,12,0.09285913,0,18.65241,0,0,8.355789,0,23212667,1,0,1,0,47,23316471,119,0,3.520889,0,1,0,0,0,47,0,4748015,10125,0,0,0.4545455,0,0,47,40,0
0,55,55.47667,1336,63042,494,12,0.1862645,0,18.1419,0,0,8.897172,0,23212667,1,0,1,0,49,23320901,120,0,1.888139,0,1,0,0,0,49,0,4971036,10606,0,0,0.2352941,0,0,49,1443,0
0,55,55.47667,1276,63042,494,12,0.09613652,0,18.57102,0,0,12.77855,0,23212667,1,0,1,0,52,23327531,146,0,3.87989,0,1,0,0,0,52,0,5197884,11120,0,0,0.4411765,0,0,52,13004,0
0,54,53.845,1224,63042,494,12,0.09904974,0,17.81489,0,0,9.447565,0,23212667,1,0,1,0,54,23331946,102,0,4.261351,0,1,0,0,0,54,0,5427051,11620,0,0,0.1515152,0,0,54,1437,0
0,57,57.10833,1304,63042,494,12,0.09338976,0,18.01903,0,0,10.35497,0,23212667,1,0,1,0,56,23336361,108,0,4.102249,0,1,0,0,0,56,0,5648626,12095,0,0,0.2,0,0,56,735,0
0,54,53.845,1252,63042,494,12,0,0,18.63202,0,0,10.435,0,23212667,1,0,20,0,58,23340791,138,0,3.557122,0,150,0,0,0,58,0,5872226,12594,0,0,0.4242424,0,0,58,7493,0
0,57,57.10833,1268,63042,494,12,0.0875529,0,17.85574,0,0,8.901958,0,23212667,1,0,1,0,61,23347406,81,0,2.463593,0,1,0,0,0,61,0,6095588,13070,0,0,0.3428572,0,0,61,5092,0
0,54,53.845,1288,63042,494,12,0,0,18.264,0,0,9.570176,0,23212667,1,0,1,0,63,23351836,149,0,3.369058,0,1,0,0,0,63,0,6317604,13537,0,0,0.3333333,0,0,63,8282,0
0,54,53.845,1196,63042,494,12,0,0,18.97929,0,0,10.7403,0,23212667,1,0,1,0,65,23356251,144,0,2.23744,0,1,0,0,0,65,0,6554928,14050,0,0,0.2424242,0,0,65,7028,0
0,54,53.845,1284,63042,494,12,0.09285913,0,19.02032,0,0,9.515676,0,23212667,1,0,1,0,68,23362881,147,0,4.150043,0,1,0,0,0,68,0,6780274,14542,0,0,0.4242424,0,0,68,6517,0
0,57,57.10833,1324,63042,494,12,0,0,17.73314,0,0,10.20931,0,23212667,1,0,1,0,70,23367296,176,0,2.663347,0,1,0,0,0,70,0,7004022,15015,0,0,0.4857143,0,0,70,6628,0
0,55,55.47667,1296,63042,494,12,0.09613652,0,18.0193,0,0,9.149336,0,23212667,1,0,1,0,72,23371726,95,0,4.583611,0,1,0,0,0,72,0,7231212,15498,0,0,0.2058824,0,0,72,1788,0
0,55,55.47667,871.3333,63042,494,6,0.09012798,0,18.08861,0,0,10.49375,0,23212667,1,0,1,0,74,23376141,170,0,0.9429643,0,1,0,0,0,74,0,7460606,16017,0,0,0.4117647,0,0,74,6974,0
0,54,53.845,63.66667,63042,494,2,0,0,18.42775,0,0,10.15494,0,23212667,1,0,20,0,77,23382771,137,0,1.414666,0,151,0,0,0,77,0,7686541,16553,0,0,0.2727273,0,0,77,6817,0
0,55,55.47667,0,63042,494,2,0,0,18.10166,0,0,10.39843,0,23212667,1,0,1,0,79,23387186,99,0,0.02968131,0,1,0,0,0,79,0,7907333,17057,0,0,0.1764706,0,0,79,8511,0
0,54,53.845,0,63042,494,2,0,0,18.71307,0,0,8.267118,0,23212667,1,0,1,0,81,23391601,146,0,0.1065393,0,1,0,0,0,81,0,8134534,17543,0,0,0.5151515,0,0,81,10256,0
0,55,55.47667,0,63042,494,2,0,0,17.07965,0,0,9.388754,0,23212667,1,0,1,0,83,23396031,114,0,0.03906435,0,1,0,0,0,83,0,8364149,18051,0,0,0.1764706,0,0,83,24,0
0,55,55.47667,0,63042,494,2,0,0,18.55022,0,0,10.20828,0,23212667,1,0,1,0,86,23402661,130,0,0.3582799,0,1,0,0,0,86,0,8585591,18553,0,0,1.058824,0,0,86,4239,0
0,55,55.47667,0,63042,494,2,0,0,18.30498,0,0,8.894834,0,23212667,1,0,1,0,88,23407076,122,0,0.1945659,0,1,0,0,0,88,0,8809795,19049,0,0,0.1764706,0,0,88,5758,0
0,54,53.845,0,63042,494,2,0.09904974,0,18.59162,0,0,8.742002,0,23212667,1,0,1,0,90,23411491,104,0,0.1206864,0,1,0,0,0,90,0,9041065,19550,0,0,0.09090909,0,0,90,32,0
0,55,55.47667,0,63042,494,2,0,0,18.18259,0,0,9.247655,0,23212667,1,0,1,0,92,23415906,155,0,0.1824637,0,1,0,0,0,92,0,9261137,20045,0,0,0.3235294,0,0,92,8641,0
0,55,55.47667,0,63042,494,2,0,0,18.34577,0,0,10.49544,0,23212667,1,0,1,0,95,23422536,96,0,0.05937692,0,1,0,0,0,95,0,9488187,20561,0,0,0.1764706,0,0,95,4846,0
0,54,53.845,0,63042,494,2,0,0,18.32567,0,0,9.467502,0,23212667,1,0,1,0,97,23426966,137,0,0.1985352,0,1,0,0,0,97,0,9716080,21052,0,0,0.2727273,0,0,97,32,0
0,55,55.47667,0,63042,494,2,0,0,17.38593,0,0,10.11794,0,23212667,1,0,1,0,99,23431381,105,0,0.06979979,0,1,0,0,0,99,0,9757111,21152,0,0,0.2352941,0,0,99,40,0
0,55,55.47667,0,63042,494,2,0,0,18.08021,0,0,9.400045,0,23212667,1,0,1,0,102,23438011,101,0,0.4523534,0,1,0,0,0,102,0,9757680,21158,0,0,0.2647059,0,0,102,40,0
0,55,55.47667,0,63042,494,2,0,0,17.46641,0,0,8.094134,0,23212667,1,0,1,0,104,23442426,158,0,0.0771951,0,1,0,0,0,104,0,9757997,21163,0,0,0.5,0,0,104,32,0
0,55,55.47667,0,63042,494,2,0,0,17.81496,0,0,8.80789,0,23212667,1,0,7,0,106,23446841,128,0,0.1505169,0,3,0,0,0,106,0,9759368,21170,0,0,0.3235294,0,0,106,40,0
0,57,57.10833,0,63042,494,2,0.09338976,0,18.5089,0,0,10.66151,0,23212667,1,0,1,0,108,23451271,172,0,0.2876261,0,1,0,0,0,108,0,9759941,21176,0,0,0.5142857,0,0,108,40,0
0,55,55.47667,0,63042,494,2,0,0,18.14163,0,0,13.11248,0,23212667,1,0,4,0,111,23457901,126,0,0.4789908,0,2,0,0,0,111,0,9761080,21184,0,0,0.3235294,0,0,111,32,0
0,55,55.47667,0,63042,494,2,0,0,17.79418,0,0,13.45697,0,23212667,1,0,1,0,113,23462316,117,0,0.05282125,0,1,0,0,0,113,0,9761641,21189,0,0,0.1764706,0,0,113,32,0
0,55,55.47667,0,63042,494,2,0,0,17.8355,0,0,13.46818,0,23212667,1,0,1,0,115,23466731,132,0,0.1117242,0,1,0,0,0,115,0,9762374,21197,0,0,0.2941177,0,0,115,40,0
